Information Type,Time,Bus ID,Monitor Tag/ Datarate,Unique Message ID
BUS MESSAGES,5.500339550002386,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,5.5003415500023864,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,5.500510325002386,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,6.0,CAN_1,0.0675
BUS DATARATE,6.0,CAN_2,0.0675
BUS DATARATE,6.0,CAN_0,0.0675
BUS MESSAGES,6.000000000002693,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.000168775002693,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.000170775002693,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.000339550002693,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.000341550002693,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.0005103250026925,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,6.5,CAN_1,0.0675
BUS DATARATE,6.5,CAN_2,0.0675
BUS DATARATE,6.5,CAN_0,0.0675
BUS MESSAGES,6.5000000000029585,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.500168775002958,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.5001707750029585,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.500339550002958,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.500341550002958,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,6.500510325002958,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,7.0,CAN_1,0.0675
BUS DATARATE,7.0,CAN_2,0.0675
BUS DATARATE,7.0,CAN_0,0.0675
BUS MESSAGES,7.00000000000326,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.000168775003259,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.00017077500326,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.000339550003259,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.0003415500032595,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.000510325003259,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,7.5,CAN_1,0.0675
BUS DATARATE,7.5,CAN_2,0.0675
BUS DATARATE,7.5,CAN_0,0.0675
BUS MESSAGES,7.50000000000345,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.500168775003449,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.50017077500345,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.500339550003449,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.50034155000345,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,7.500510325003449,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,8.0,CAN_1,0.0675
BUS DATARATE,8.0,CAN_2,0.0675
BUS DATARATE,8.0,CAN_0,0.0675
BUS MESSAGES,8.000000000003645,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.000168775003646,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.000170775003646,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.000339550003646,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.000341550003647,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.000510325003647,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,8.5,CAN_1,0.0675
BUS DATARATE,8.5,CAN_2,0.0675
BUS DATARATE,8.5,CAN_0,0.0675
BUS MESSAGES,8.500000000003702,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.500168775003702,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.500170775003703,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.500339550003703,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.500341550003704,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,8.500510325003704,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,9.0,CAN_1,0.0675
BUS DATARATE,9.0,CAN_2,0.0675
BUS DATARATE,9.0,CAN_0,0.0675
BUS MESSAGES,9.000000000004169,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.00016877500417,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.00017077500417,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.00033955000417,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.00034155000417,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.000510325004171,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,9.5,CAN_1,0.0675
BUS DATARATE,9.5,CAN_2,0.0675
BUS DATARATE,9.5,CAN_0,0.0675
BUS MESSAGES,9.50000000000443,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.50016877500443,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.500170775004431,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,9.500339550004432,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
